platform,user_id,username,age_group,spend_type,tags,location,last_active_time
youtube,UCDXkorNk4CaY8jTqsYBM2yQ,@peiyi.1024,18-25,free,,,2026-04-15 03:03:02
youtube,UCR9bBOXDBTopVYtNSLmsKJA,@keithy7275,18-25,free,,,2026-04-15 03:03:02
youtube,UCCqVSNyI3xwJLxa2YiPTu8Q,@-702gaming9,18-25,free,,,2026-04-15 03:03:02
youtube,UCo3-foush1kR1g6POyEVJTw,@todozo,18-25,free,,,2026-04-15 03:03:02
youtube,UCihMYFTzkJLJT5AYalHm6eg,@KuoHaoHsu0922,18-25,free,,,2026-04-15 03:03:02
youtube,UC2N5JahWeqDm9t6CXX3tE0A,@羿隻貓,18-25,free,,,2026-04-15 03:03:02
youtube,UCyxXqQ2mxidZSlCwQ7oaTqA,@予誠,18-25,free,,,2026-04-15 03:03:02
youtube,UCbLEeujMDhMVjEbptIlB3qA,@pollysun-,18-25,free,,,2026-04-15 03:03:02
youtube,UCZqkxNaF8h93D7HH7dZYmJQ,@阿彥-g6u,18-25,free,,,2026-04-15 03:03:02
youtube,UCOtH_i-usYw5uuGamq_sAag,@Alexandra03s,18-25,free,,,2026-04-15 03:03:02
youtube,UCleTve20C_KszOs0Nx5vYfg,@一一-b3j,18-25,free,,,2026-04-15 03:03:02
youtube,UCcYJV84LmN8P9sl9A3XOWRQ,@sisisit2662,18-25,free,,,2026-04-15 03:03:02
youtube,UC30hhYxjIsU-bEmezVV03Iw,@炎黃王-w2v,18-25,free,,,2026-04-15 03:03:02
youtube,UC-8xR5CRD4ctUfhBCCsDzUA,@黎俊岑,18-25,free,,,2026-04-15 03:03:02
youtube,UCXuRZNTW1KZURoRJjU2ncgA,@henryhenry3074,18-25,free,,,2026-04-15 03:03:02
youtube,UC9GEhJXbgTv_2djQATiZwQA,@子-m7r,18-25,free,,,2026-04-15 03:03:02
youtube,UC73KJna85t879j6wbSixwFA,@泓尹-hongyin,18-25,free,,,2026-04-15 03:03:02
youtube,UC0iGsWSrdQuyeV97Zi6s2Ng,@lazybones75,18-25,free,,,2026-04-15 03:03:02
youtube,UC985PM5tap0JGhREbo6jQsA,@議員陸,18-25,free,,,2026-04-15 03:03:02
youtube,UCfpyU0ng8dInZHu6eWE4jQQ,@布魯亂,18-25,free,,,2026-04-15 03:03:02
youtube,UCLBAq08QdiN7zBo8Ii_X6Nw,@chowt.k349,18-25,free,,,2026-04-15 03:03:02
youtube,UCzZT82fw1a3eQakBLc_fWpQ,@battlefish,18-25,free,,,2026-04-15 03:03:02
youtube,UC_0OAnYVf_z6gToSsPaPJew,@kaolll,18-25,free,,,2026-04-15 03:03:02
youtube,UCtdwYXe6f78Dr6Pyn95qzaA,@shiseido520,18-25,free,,,2026-04-15 03:03:02
youtube,UCUjNM0aEU7fg6_frvBsGftQ,@tewcheubeng7723,18-25,free,,,2026-04-15 03:03:02
youtube,UCJMPii2aR2CnuTIw8nh5fSw,@紋-p2n,18-25,free,,,2026-04-15 03:03:02
youtube,UCcH_pNOexfp7UA0I7ZwPUHg,@策理堂,18-25,free,,,2026-04-15 03:03:02
youtube,UCDOhkWSGFhsuQ8us1tWhUFQ,@tcho2562,18-25,free,,,2026-04-15 03:03:02
youtube,UCzSi-3ybiwFjQWE7nrMyXYA,@葛佳勳-h3y,18-25,free,,,2026-04-15 03:03:02
